"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","3,639.78","3,626.24","3,642.84","3,624.94","32.97B","0.57%"
"12/30/2021","3,619.19","3,596.49","3,628.92","3,595.50","30.78B","0.62%"
"12/29/2021","3,597.00","3,630.92","3,630.92","3,596.32","30.51B","-0.91%"
"12/28/2021","3,630.11","3,619.64","3,631.08","3,607.36","31.62B","0.39%"
"12/27/2021","3,615.97","3,613.05","3,632.19","3,601.94","32.92B","-0.06%"
"12/24/2021","3,618.05","3,645.39","3,648.96","3,612.07","39.03B","-0.69%"
"12/23/2021","3,643.34","3,625.47","3,643.55","3,618.05","38.29B","0.57%"
"12/22/2021","3,622.62","3,632.68","3,635.90","3,616.55","39.48B","-0.07%"
"12/21/2021","3,625.13","3,591.45","3,627.09","3,591.45","40.82B","0.88%"
"12/20/2021","3,593.60","3,620.04","3,643.95","3,589.36","42.39B","-1.07%"
"12/17/2021","3,632.36","3,670.26","3,673.65","3,631.66","40.85B","-1.16%"
"12/16/2021","3,675.02","3,648.93","3,675.02","3,644.66","38.13B","0.75%"
"12/15/2021","3,647.63","3,655.05","3,668.40","3,645.24","37.75B","-0.38%"
"12/14/2021","3,661.53","3,669.81","3,671.68","3,654.66","36.22B","-0.53%"
"12/13/2021","3,681.08","3,686.94","3,708.94","3,678.06","42.41B","0.40%"
"12/10/2021","3,666.35","3,654.37","3,667.85","3,651.35","42.00B","-0.18%"
"12/09/2021","3,673.04","3,641.16","3,688.40","3,638.70","43.19B","0.98%"
"12/08/2021","3,637.57","3,602.82","3,637.72","3,591.99","36.10B","1.18%"
"12/07/2021","3,595.09","3,611.22","3,614.22","3,572.57","40.38B","0.16%"
"12/06/2021","3,589.31","3,615.24","3,626.13","3,586.81","41.87B","-0.50%"
"12/03/2021","3,607.43","3,576.45","3,608.47","3,573.21","37.76B","0.94%"
"12/02/2021","3,573.84","3,573.25","3,586.87","3,567.14","35.40B","-0.09%"
"12/01/2021","3,576.89","3,561.89","3,576.89","3,558.69","32.99B","0.36%"
"11/30/2021","3,563.89","3,570.75","3,582.11","3,546.36","34.92B","0.03%"
"11/29/2021","3,562.70","3,528.67","3,563.68","3,526.35","33.36B","-0.04%"
"11/26/2021","3,564.09","3,576.11","3,576.11","3,554.88","30.10B","-0.56%"
"11/25/2021","3,584.18","3,593.39","3,597.15","3,579.53","30.65B","-0.24%"
"11/24/2021","3,592.70","3,590.02","3,602.74","3,575.29","33.68B","0.10%"
"11/23/2021","3,589.09","3,580.51","3,598.38","3,577.36","36.00B","0.20%"
"11/22/2021","3,582.08","3,562.76","3,585.19","3,562.75","33.00B","0.61%"
"11/19/2021","3,560.37","3,519.28","3,561.91","3,517.65","31.80B","1.13%"
"11/18/2021","3,520.71","3,531.49","3,537.98","3,513.11","31.24B","-0.47%"
"11/17/2021","3,537.37","3,518.56","3,537.51","3,513.52","27.67B","0.44%"
"11/16/2021","3,521.79","3,530.46","3,549.77","3,517.81","31.04B","-0.33%"
"11/15/2021","3,533.30","3,542.90","3,550.44","3,521.29","31.30B","-0.16%"
"11/12/2021","3,539.10","3,534.15","3,543.65","3,527.39","30.87B","0.18%"
"11/11/2021","3,532.79","3,486.45","3,534.20","3,482.83","32.21B","1.15%"
"11/10/2021","3,492.46","3,498.94","3,498.94","3,448.44","30.70B","-0.41%"